Epoch,R2 Score
1,-0.07873197078863536
2,-0.050314969412323274
3,-0.032354857551473715
4,-0.017397162276258316
5,-0.007205311254783353
6,0.004020782532305978
7,0.015388211539641428
8,0.022376070177611895
9,0.02868046910488975
10,0.03288086932282164
