Epoch,R2 Score
1,-2.908146381378174
2,-2.8369266986846924
3,-2.634222984313965
4,-2.5259175300598145
5,-2.4121241569519043
6,-2.31069278717041
7,-2.2285590171813965
8,-2.1522226333618164
9,-2.088632345199585
10,-2.029229164123535
11,-1.9699103832244873
12,-1.9171509742736816
13,-1.8690266609191895
14,-1.823256254196167
15,-1.779080867767334
16,-1.7349309921264648
17,-1.6943808794021606
18,-1.654996395111084
19,-1.6190810203552246
20,-1.5824252367019653
21,-1.5452799797058105
22,-1.507110834121704
23,-1.4721119403839111
24,-1.4376713037490845
25,-1.4038838148117065
26,-1.3737237453460693
27,-1.3424608707427979
28,-1.3099322319030762
29,-1.2818357944488525
30,-1.2552297115325928
31,-1.2292619943618774
32,-1.203233003616333
33,-1.1766176223754883
34,-1.1521886587142944
35,-1.1289427280426025
36,-1.1063611507415771
37,-1.0842857360839844
38,-1.0628526210784912
39,-1.0424468517303467
40,-1.0229215621948242
41,-1.0035429000854492
42,-0.9844189286231995
43,-0.9661065936088562
44,-0.9483187198638916
45,-0.9312362670898438
46,-0.9144555330276489
47,-0.8983080983161926
48,-0.8826346397399902
49,-0.8673282861709595
50,-0.8523457646369934
51,-0.8381298780441284
52,-0.8244386911392212
53,-0.8110658526420593
54,-0.7979839444160461
55,-0.7851939797401428
56,-0.7729679942131042
57,-0.7606040239334106
58,-0.748749315738678
59,-0.7373114228248596
60,-0.7263016104698181
61,-0.7154821157455444
62,-0.7047827243804932
63,-0.6944526433944702
64,-0.6845593452453613
65,-0.6748315095901489
66,-0.6652942299842834
67,-0.6560092568397522
68,-0.6468929648399353
69,-0.6382543444633484
70,-0.6297513246536255
71,-0.6212291121482849
72,-0.6131858825683594
73,-0.6052961349487305
74,-0.5977407097816467
75,-0.5902371406555176
76,-0.5829638838768005
77,-0.5759068727493286
78,-0.5689091086387634
79,-0.5618826746940613
80,-0.5550756454467773
81,-0.5484225749969482
82,-0.5419973731040955
83,-0.5355993509292603
84,-0.5295621752738953
85,-0.5235311388969421
86,-0.5179619789123535
87,-0.5123403668403625
88,-0.5067781209945679
89,-0.5015039443969727
90,-0.49633240699768066
91,-0.49118655920028687
92,-0.4860880374908447
93,-0.4811297655105591
94,-0.4764166474342346
95,-0.47160470485687256
96,-0.46688127517700195
97,-0.46224915981292725
98,-0.4577678442001343
99,-0.4533321261405945
100,-0.44904541969299316
101,-0.44485175609588623
102,-0.4407532215118408
103,-0.4367101192474365
104,-0.4326491951942444
105,-0.428827702999115
106,-0.4250255227088928
107,-0.4212305545806885
108,-0.4174443483352661
109,-0.41377192735671997
110,-0.4101676940917969
111,-0.4066573977470398
112,-0.4031405448913574
113,-0.39981013536453247
114,-0.39649826288223267
115,-0.39323198795318604
116,-0.390051007270813
117,-0.3868853449821472
118,-0.38380759954452515
119,-0.3807685971260071
120,-0.377705454826355
121,-0.37482577562332153
122,-0.3719843626022339
123,-0.3690706491470337
124,-0.3662768602371216
125,-0.36347687244415283
126,-0.36077290773391724
127,-0.3581324815750122
128,-0.3554803729057312
129,-0.35287314653396606
130,-0.350289523601532
131,-0.34778231382369995
132,-0.3452911972999573
133,-0.3429187536239624
134,-0.34053903818130493
135,-0.33818286657333374
136,-0.3357934355735779
137,-0.33344560861587524
138,-0.3311457633972168
139,-0.328870952129364
140,-0.3267030119895935
141,-0.324506938457489
142,-0.32244324684143066
143,-0.32036900520324707
144,-0.3183353543281555
145,-0.31634849309921265
146,-0.31442099809646606
147,-0.3124490976333618
148,-0.31050586700439453
149,-0.30855679512023926
150,-0.3066890835762024
151,-0.3048163056373596
152,-0.3029751777648926
153,-0.30117589235305786
154,-0.2994272708892822
155,-0.29759860038757324
156,-0.2957580089569092
157,-0.2940089702606201
158,-0.2922741770744324
159,-0.29055535793304443
160,-0.2888464331626892
161,-0.2872345447540283
162,-0.28561991453170776
163,-0.28405195474624634
164,-0.2825337052345276
165,-0.2809925079345703
166,-0.27944648265838623
167,-0.2778986692428589
168,-0.27641022205352783
169,-0.2749585509300232
170,-0.2735103964805603
171,-0.27204233407974243
172,-0.2706146836280823
173,-0.26921480894088745
174,-0.2677660584449768
175,-0.2663800120353699
176,-0.2649989724159241
177,-0.2636696696281433
178,-0.26234298944473267
179,-0.2609335780143738
180,-0.2595885396003723
181,-0.2582358121871948
182,-0.25693345069885254
183,-0.25560706853866577
184,-0.2543758153915405
185,-0.2531996965408325
186,-0.2519625425338745
187,-0.2507288455963135
188,-0.24949133396148682
189,-0.2482629418373108
190,-0.24705535173416138
191,-0.2459045648574829
192,-0.24476468563079834
193,-0.24357503652572632
194,-0.2425466775894165
195,-0.24161285161972046
196,-0.24057888984680176
197,-0.23947179317474365
198,-0.2384694218635559
199,-0.2374834418296814
200,-0.23640042543411255
