Epoch,R2 Score
1,-2.8348453044891357
2,-2.9513497352600098
3,-3.072927951812744
4,-3.150949001312256
5,-3.192586898803711
6,-3.260150671005249
7,-3.3092331886291504
8,-3.341856002807617
9,-3.3394086360931396
10,-3.292606830596924
11,-3.242504596710205
12,-3.211500406265259
13,-3.1708574295043945
14,-3.111588954925537
15,-3.037085771560669
16,-2.959033966064453
17,-2.8737845420837402
18,-2.7765071392059326
19,-2.6783666610717773
20,-2.5822982788085938
21,-2.4938931465148926
22,-2.4074244499206543
23,-2.3286237716674805
24,-2.254289388656616
25,-2.187297821044922
26,-2.119741439819336
27,-2.0529656410217285
28,-1.989253282546997
29,-1.9288147687911987
30,-1.8711106777191162
31,-1.817274808883667
32,-1.7664235830307007
33,-1.717162847518921
34,-1.6682096719741821
35,-1.6216297149658203
36,-1.577247142791748
37,-1.5373375415802002
38,-1.496182918548584
39,-1.4559459686279297
40,-1.4176621437072754
41,-1.382541298866272
42,-1.3479505777359009
43,-1.3132730722427368
44,-1.280051827430725
45,-1.2481651306152344
46,-1.2166944742202759
47,-1.1864473819732666
48,-1.1579151153564453
49,-1.1299285888671875
50,-1.1029376983642578
51,-1.0766980648040771
52,-1.0513801574707031
53,-1.0272648334503174
54,-1.0043178796768188
55,-0.9820629954338074
56,-0.9600246548652649
57,-0.9390503168106079
58,-0.9186971783638
59,-0.8984604477882385
60,-0.8792270421981812
61,-0.8605902791023254
62,-0.8427292704582214
63,-0.8249226808547974
64,-0.8076722621917725
65,-0.7910460829734802
66,-0.7746955156326294
67,-0.7587296366691589
68,-0.7430478930473328
69,-0.7277242541313171
70,-0.7130300998687744
71,-0.6987476944923401
72,-0.6847096085548401
73,-0.6711353063583374
74,-0.6579076051712036
75,-0.6450695991516113
76,-0.6325363516807556
77,-0.620175838470459
78,-0.6080465316772461
79,-0.5963650941848755
80,-0.5850237011909485
81,-0.573738157749176
82,-0.5626552700996399
83,-0.5519716143608093
84,-0.5415772199630737
85,-0.5312882661819458
86,-0.521161675453186
87,-0.511193573474884
88,-0.501679539680481
89,-0.4921937584877014
90,-0.4828380346298218
91,-0.47345811128616333
92,-0.4643555283546448
93,-0.4555177688598633
94,-0.4468368887901306
95,-0.43830782175064087
96,-0.430072546005249
97,-0.42196494340896606
98,-0.41392701864242554
99,-0.4060732126235962
100,-0.3983989357948303
101,-0.3909890055656433
102,-0.3836745619773865
103,-0.3764355778694153
104,-0.3693343997001648
105,-0.3623489737510681
106,-0.35551875829696655
107,-0.348996639251709
108,-0.3423565626144409
109,-0.3359142541885376
110,-0.3295978307723999
111,-0.3233721852302551
112,-0.3171830177307129
113,-0.3111499547958374
114,-0.3052096962928772
115,-0.29935961961746216
116,-0.29358065128326416
117,-0.287880003452301
118,-0.28229695558547974
119,-0.276830792427063
120,-0.2714579105377197
121,-0.2662191390991211
122,-0.2610630393028259
123,-0.25592726469039917
124,-0.2508520483970642
125,-0.24583321809768677
126,-0.24085843563079834
127,-0.23597019910812378
128,-0.23120176792144775
129,-0.22650158405303955
130,-0.22186464071273804
131,-0.21729505062103271
132,-0.21280044317245483
133,-0.20836448669433594
134,-0.20405298471450806
135,-0.19980716705322266
136,-0.19551867246627808
137,-0.19131189584732056
138,-0.1871148943901062
139,-0.1829853057861328
140,-0.179004967212677
141,-0.17503726482391357
142,-0.17113560438156128
143,-0.16732829809188843
144,-0.1636059284210205
145,-0.15991806983947754
146,-0.15628400444984436
147,-0.1526661515235901
148,-0.14909261465072632
149,-0.14553970098495483
150,-0.142035573720932
151,-0.13861334323883057
152,-0.13523739576339722
153,-0.1318645477294922
154,-0.12849566340446472
155,-0.12513843178749084
156,-0.12184324860572815
157,-0.11857417225837708
158,-0.11537551879882812
159,-0.11221349239349365
160,-0.10914799571037292
161,-0.1060851514339447
162,-0.10307040810585022
163,-0.100117027759552
164,-0.0971825122833252
165,-0.09427812695503235
166,-0.09141448140144348
167,-0.08860135078430176
168,-0.08581477403640747
169,-0.08299502730369568
170,-0.08017873764038086
171,-0.077410489320755
172,-0.07472050189971924
173,-0.07209181785583496
174,-0.06949552893638611
175,-0.06690007448196411
176,-0.064332515001297
177,-0.06183326244354248
178,-0.05932128429412842
179,-0.05682304501533508
180,-0.05436238646507263
181,-0.0519404411315918
182,-0.04953637719154358
183,-0.04727336764335632
184,-0.04500356316566467
185,-0.04269161820411682
186,-0.04036465287208557
187,-0.03812876343727112
188,-0.03590574860572815
189,-0.03370139002799988
190,-0.03151613473892212
191,-0.02935132384300232
192,-0.027206242084503174
193,-0.0251292884349823
194,-0.023076623678207397
195,-0.021007061004638672
196,-0.01897159218788147
197,-0.016959279775619507
198,-0.014963507652282715
199,-0.01294851303100586
200,-0.010933846235275269
