Epoch,R2 Score
1,-3.527580976486206
2,-3.524817943572998
3,-3.5525927543640137
4,-3.5602617263793945
5,-3.53605580329895
6,-3.510158061981201
7,-3.521761417388916
8,-3.548530101776123
9,-3.5906965732574463
10,-3.6410927772521973
11,-3.6988582611083984
12,-3.742706298828125
13,-3.7306466102600098
14,-3.6648082733154297
15,-3.5741477012634277
16,-3.4653737545013428
17,-3.3516550064086914
18,-3.2466888427734375
19,-3.150214195251465
20,-3.0524606704711914
21,-2.9604604244232178
22,-2.8760299682617188
23,-2.799201011657715
24,-2.7260427474975586
25,-2.653975486755371
26,-2.5861587524414062
27,-2.518531560897827
28,-2.452214241027832
29,-2.3894758224487305
30,-2.3289895057678223
31,-2.2703137397766113
32,-2.215287208557129
33,-2.160891056060791
34,-2.109642505645752
35,-2.061328172683716
36,-2.0132827758789062
37,-1.9674005508422852
38,-1.9241673946380615
39,-1.8824410438537598
40,-1.8406630754470825
41,-1.8014752864837646
42,-1.7634385824203491
43,-1.726494550704956
44,-1.6910359859466553
45,-1.6570919752120972
46,-1.6250337362289429
47,-1.5947978496551514
48,-1.5647965669631958
49,-1.5358011722564697
50,-1.5083177089691162
51,-1.4818789958953857
52,-1.4557180404663086
53,-1.4305024147033691
54,-1.4065601825714111
55,-1.383805751800537
56,-1.3620253801345825
57,-1.3407031297683716
58,-1.320042610168457
59,-1.3002171516418457
60,-1.2812553644180298
61,-1.2629296779632568
62,-1.2454993724822998
63,-1.2289702892303467
64,-1.2129192352294922
65,-1.1974798440933228
66,-1.1828265190124512
67,-1.1689140796661377
68,-1.1550832986831665
69,-1.1418029069900513
70,-1.128917932510376
71,-1.1166999340057373
72,-1.1050162315368652
73,-1.0940217971801758
74,-1.0835444927215576
75,-1.0732965469360352
76,-1.0634100437164307
77,-1.053947925567627
78,-1.0448861122131348
79,-1.0361652374267578
80,-1.0276405811309814
81,-1.0190361738204956
82,-1.010718822479248
83,-1.0026302337646484
84,-0.9952985048294067
85,-0.9885351061820984
86,-0.9818384647369385
87,-0.9755476713180542
88,-0.9695609211921692
89,-0.9637718200683594
90,-0.9578425288200378
91,-0.9520241618156433
92,-0.9464397430419922
93,-0.9412901401519775
94,-0.936150848865509
95,-0.931035041809082
96,-0.9261096715927124
97,-0.9215014576911926
98,-0.9170028567314148
99,-0.9126229286193848
100,-0.9085821509361267
101,-0.9046007394790649
102,-0.900692880153656
103,-0.8965782523155212
104,-0.8928379416465759
105,-0.8892161250114441
106,-0.8857805728912354
107,-0.8825598359107971
108,-0.879514217376709
109,-0.8767039179801941
110,-0.8737038969993591
111,-0.8708052635192871
112,-0.8678755164146423
113,-0.8649460077285767
114,-0.8624428510665894
115,-0.8601812720298767
116,-0.8577845096588135
117,-0.8552314639091492
118,-0.8529255390167236
119,-0.8505553603172302
120,-0.8481883406639099
121,-0.84599769115448
122,-0.8442507386207581
123,-0.8423306345939636
124,-0.839942991733551
125,-0.8376675844192505
126,-0.8355995416641235
127,-0.8336876034736633
128,-0.8321484923362732
129,-0.8304789662361145
130,-0.8291476964950562
131,-0.8276945352554321
132,-0.8261919617652893
133,-0.8248420357704163
134,-0.8235307335853577
135,-0.822679877281189
136,-0.8216444849967957
137,-0.8206157684326172
138,-0.8197704553604126
139,-0.8189479112625122
140,-0.8181950449943542
141,-0.8172679543495178
142,-0.8163171410560608
143,-0.8151776194572449
144,-0.8137989640235901
145,-0.8123636245727539
146,-0.8110822439193726
147,-0.8101147413253784
148,-0.8089889883995056
149,-0.8080723285675049
150,-0.8073435425758362
151,-0.8065574169158936
152,-0.8059403896331787
153,-0.8053756356239319
154,-0.8050836324691772
155,-0.8045476078987122
156,-0.8041311502456665
157,-0.8033510446548462
158,-0.8025122284889221
159,-0.8018117547035217
160,-0.80124431848526
161,-0.8006672263145447
162,-0.8000162839889526
163,-0.7992191910743713
164,-0.7983646988868713
165,-0.7977462410926819
166,-0.7967818379402161
167,-0.7958799600601196
168,-0.7951918244361877
169,-0.794471800327301
170,-0.7939414381980896
171,-0.7935096025466919
172,-0.7933611273765564
173,-0.7929911613464355
174,-0.7925841808319092
175,-0.7923968434333801
176,-0.7918798923492432
177,-0.7914164662361145
178,-0.7909712791442871
179,-0.7903420925140381
180,-0.7897891402244568
181,-0.7893184423446655
182,-0.7888617515563965
183,-0.788479208946228
184,-0.788008451461792
185,-0.787369966506958
186,-0.7868016958236694
187,-0.7862410545349121
188,-0.7857788801193237
189,-0.7855538725852966
190,-0.7853440642356873
191,-0.785092294216156
192,-0.7847525477409363
193,-0.7845958471298218
194,-0.784371018409729
195,-0.7843359708786011
196,-0.7844120264053345
197,-0.7843477725982666
198,-0.7839159965515137
199,-0.7836335301399231
200,-0.7833627462387085
