Epoch,R2 Score
1,-3.10455584526062
2,-3.090041160583496
3,-3.0759997367858887
4,-3.062509536743164
5,-3.0493404865264893
6,-3.036444664001465
7,-3.0237693786621094
8,-3.0113182067871094
9,-2.9990181922912598
10,-2.986804246902466
11,-2.9746246337890625
12,-2.9624857902526855
13,-2.950399398803711
14,-2.938323974609375
15,-2.926236867904663
16,-2.9141383171081543
17,-2.902024984359741
18,-2.8898909091949463
19,-2.877777099609375
20,-2.865678548812866
21,-2.8536019325256348
22,-2.8414998054504395
23,-2.8293159008026123
24,-2.817002534866333
25,-2.8044862747192383
26,-2.7917160987854004
27,-2.778646469116211
28,-2.7652382850646973
29,-2.7514419555664062
30,-2.7372193336486816
31,-2.722529888153076
32,-2.7073588371276855
33,-2.6916568279266357
34,-2.675368309020996
35,-2.6584324836730957
36,-2.6407995223999023
37,-2.622404098510742
38,-2.6031975746154785
39,-2.583085536956787
40,-2.5619406700134277
41,-2.5396876335144043
42,-2.516331195831299
43,-2.4918692111968994
44,-2.466315269470215
45,-2.439697742462158
46,-2.412105083465576
47,-2.38372802734375
48,-2.3548192977905273
49,-2.325590133666992
50,-2.296335220336914
51,-2.267296314239502
52,-2.238713264465332
53,-2.2107276916503906
54,-2.183401107788086
55,-2.156740188598633
56,-2.1307449340820312
57,-2.10539174079895
58,-2.080662727355957
59,-2.056525468826294
60,-2.0329551696777344
61,-2.009922742843628
62,-1.9874082803726196
63,-1.9653799533843994
64,-1.9438226222991943
65,-1.9227149486541748
66,-1.9020447731018066
67,-1.8817944526672363
68,-1.861954689025879
69,-1.8425111770629883
70,-1.823447346687317
71,-1.8047504425048828
72,-1.7864079475402832
73,-1.7684032917022705
74,-1.7507323026657104
75,-1.733384609222412
76,-1.7163417339324951
77,-1.6995917558670044
78,-1.6831285953521729
79,-1.6669440269470215
80,-1.6510357856750488
81,-1.6353850364685059
82,-1.6199889183044434
83,-1.6048288345336914
84,-1.589898943901062
85,-1.575190782546997
86,-1.5607001781463623
87,-1.5464112758636475
88,-1.53231942653656
89,-1.5184236764907837
90,-1.5047129392623901
91,-1.4911892414093018
92,-1.477849006652832
93,-1.4646865129470825
94,-1.451692819595337
95,-1.4388645887374878
96,-1.4261996746063232
97,-1.4136961698532104
98,-1.4013516902923584
99,-1.3891637325286865
100,-1.377122163772583
101,-1.3652262687683105
102,-1.353468418121338
103,-1.3418456315994263
104,-1.3303546905517578
105,-1.318998098373413
106,-1.3077714443206787
107,-1.29667067527771
108,-1.2856907844543457
109,-1.2748360633850098
110,-1.2641006708145142
111,-1.2534830570220947
112,-1.2429823875427246
113,-1.2325962781906128
114,-1.2223246097564697
115,-1.2121691703796387
116,-1.2021249532699585
117,-1.1921887397766113
118,-1.1823608875274658
119,-1.1726365089416504
120,-1.1630151271820068
121,-1.1534955501556396
122,-1.1440823078155518
123,-1.1347737312316895
124,-1.1255619525909424
125,-1.1164488792419434
126,-1.1074318885803223
127,-1.0985113382339478
128,-1.0896878242492676
129,-1.0809578895568848
130,-1.0723211765289307
131,-1.0637776851654053
132,-1.0553257465362549
133,-1.0469694137573242
134,-1.0387024879455566
135,-1.030529260635376
136,-1.022437572479248
137,-1.0144280195236206
138,-1.006495714187622
139,-0.9986395239830017
140,-0.9908590912818909
141,-0.9831554889678955
142,-0.9755263328552246
143,-0.9679709076881409
144,-0.9604886770248413
145,-0.953076958656311
146,-0.9457346200942993
147,-0.9384613633155823
148,-0.9312622547149658
149,-0.9241272211074829
150,-0.9170587658882141
151,-0.9100514054298401
152,-0.9031078815460205
153,-0.8962247967720032
154,-0.8894041180610657
155,-0.8826454877853394
156,-0.8759446144104004
157,-0.8693068623542786
158,-0.8627276420593262
159,-0.8562070727348328
160,-0.8497441411018372
161,-0.8433336615562439
162,-0.8369744420051575
163,-0.8306721448898315
164,-0.8244280219078064
165,-0.8182389140129089
166,-0.812106192111969
167,-0.8060234189033508
168,-0.7999971508979797
169,-0.7940211892127991
170,-0.7880908846855164
171,-0.7822123169898987
172,-0.7763940095901489
173,-0.770628809928894
174,-0.7649058103561401
175,-0.7592349648475647
176,-0.7536147236824036
177,-0.7480354309082031
178,-0.7424982786178589
179,-0.7370079755783081
180,-0.7315681576728821
181,-0.7261731624603271
182,-0.7208235263824463
183,-0.7155224084854126
184,-0.7102562785148621
185,-0.7050333023071289
186,-0.6998602151870728
187,-0.6947360038757324
188,-0.6896507740020752
189,-0.6846082210540771
190,-0.6796022653579712
191,-0.6746435165405273
192,-0.6697252988815308
193,-0.6648459434509277
194,-0.6600106358528137
195,-0.6552221179008484
196,-0.6504679322242737
197,-0.6457484364509583
198,-0.6410738229751587
199,-0.6364355683326721
200,-0.6318345665931702
