Epoch,R2 Score
1,-3.0537633895874023
2,-3.0947823524475098
3,-3.084702730178833
4,-3.1006715297698975
5,-3.199544906616211
6,-3.383760452270508
7,-3.5800650119781494
8,-3.6612539291381836
9,-3.6214349269866943
10,-3.557790994644165
11,-3.507650375366211
12,-3.467545986175537
13,-3.4189884662628174
14,-3.3681318759918213
15,-3.3200254440307617
16,-3.2717201709747314
17,-3.2230405807495117
18,-3.1746253967285156
19,-3.1303176879882812
20,-3.0895097255706787
21,-3.0522589683532715
22,-3.0163674354553223
23,-2.98203182220459
24,-2.94924259185791
25,-2.919229030609131
26,-2.8929603099823
27,-2.8673157691955566
28,-2.8431499004364014
29,-2.8171920776367188
30,-2.7915220260620117
31,-2.765990734100342
32,-2.741457462310791
33,-2.718473196029663
34,-2.6982030868530273
35,-2.676144599914551
36,-2.6555848121643066
37,-2.637132167816162
38,-2.618403434753418
39,-2.598306179046631
40,-2.5791993141174316
41,-2.560310125350952
42,-2.541536331176758
43,-2.523378372192383
44,-2.506474494934082
45,-2.490142822265625
46,-2.4737396240234375
47,-2.4582395553588867
48,-2.442969799041748
49,-2.4274730682373047
50,-2.413802146911621
51,-2.3989596366882324
52,-2.3849635124206543
53,-2.3710105419158936
54,-2.356778860092163
55,-2.3431849479675293
56,-2.329882860183716
57,-2.3166158199310303
58,-2.303292751312256
59,-2.2890095710754395
60,-2.275279998779297
61,-2.261685371398926
62,-2.2489852905273438
63,-2.2362914085388184
64,-2.2238476276397705
65,-2.2120890617370605
66,-2.2009823322296143
67,-2.1885061264038086
68,-2.1757404804229736
69,-2.162743330001831
70,-2.1496341228485107
71,-2.137085199356079
72,-2.1263155937194824
73,-2.1151747703552246
74,-2.102684497833252
75,-2.0908203125
76,-2.08026123046875
77,-2.0690250396728516
78,-2.057647228240967
79,-2.0461769104003906
80,-2.034438133239746
81,-2.0231337547302246
82,-2.0115365982055664
83,-1.9995651245117188
84,-1.9880399703979492
85,-1.9770485162734985
86,-1.9670941829681396
87,-1.9567207098007202
88,-1.9458787441253662
89,-1.9354963302612305
90,-1.9256352186203003
91,-1.9156607389450073
92,-1.9050121307373047
93,-1.8941318988800049
94,-1.8825234174728394
95,-1.8717658519744873
96,-1.8617790937423706
97,-1.8516507148742676
98,-1.8412466049194336
99,-1.8303394317626953
100,-1.8197612762451172
101,-1.8098032474517822
102,-1.7996811866760254
103,-1.7893579006195068
104,-1.7795850038528442
105,-1.769923210144043
106,-1.760945439338684
107,-1.7514455318450928
108,-1.7416961193084717
109,-1.7323760986328125
110,-1.7226980924606323
111,-1.7131083011627197
112,-1.7040090560913086
113,-1.6949598789215088
114,-1.6856441497802734
115,-1.6765763759613037
116,-1.6673835515975952
117,-1.6583435535430908
118,-1.6496777534484863
119,-1.6409178972244263
120,-1.6326195001602173
121,-1.6242139339447021
122,-1.615116834640503
123,-1.6062369346618652
124,-1.5979254245758057
125,-1.5896854400634766
126,-1.5812416076660156
127,-1.5727181434631348
128,-1.5642929077148438
129,-1.5559208393096924
130,-1.5477163791656494
131,-1.5395965576171875
132,-1.5316071510314941
133,-1.5234578847885132
134,-1.5153224468231201
135,-1.507340669631958
136,-1.4994020462036133
137,-1.491571068763733
138,-1.4835290908813477
139,-1.4756194353103638
140,-1.4679920673370361
141,-1.4602365493774414
142,-1.4525330066680908
143,-1.44475257396698
144,-1.4371018409729004
145,-1.4295248985290527
146,-1.4220569133758545
147,-1.4146251678466797
148,-1.4075276851654053
149,-1.400315284729004
150,-1.3930290937423706
151,-1.3857030868530273
152,-1.3784799575805664
153,-1.3712968826293945
154,-1.3640623092651367
155,-1.3566784858703613
156,-1.3495558500289917
157,-1.3426587581634521
158,-1.3357532024383545
159,-1.3289880752563477
160,-1.3225678205490112
161,-1.315720796585083
162,-1.3091435432434082
163,-1.3026061058044434
164,-1.2959263324737549
165,-1.2890970706939697
166,-1.2824156284332275
167,-1.27584707736969
168,-1.2694381475448608
169,-1.2629926204681396
170,-1.256593108177185
171,-1.2503905296325684
172,-1.24415922164917
173,-1.238020896911621
174,-1.2318379878997803
175,-1.225574254989624
176,-1.219407081604004
177,-1.2132346630096436
178,-1.2071698904037476
179,-1.201308250427246
180,-1.1952602863311768
181,-1.1893560886383057
182,-1.1836276054382324
183,-1.1777212619781494
184,-1.1717267036437988
185,-1.1658211946487427
186,-1.1600558757781982
187,-1.1543657779693604
188,-1.1486088037490845
189,-1.1428422927856445
190,-1.1371886730194092
191,-1.1315858364105225
192,-1.1260805130004883
193,-1.1204718351364136
194,-1.1148635149002075
195,-1.1094672679901123
196,-1.1042498350143433
197,-1.098888635635376
198,-1.0935478210449219
199,-1.0884678363800049
200,-1.083540439605713
