Epoch,R2 Score
1,-2.5425233840942383
2,-2.751992702484131
3,-2.8575448989868164
4,-2.7302098274230957
5,-2.52557110786438
6,-2.3689894676208496
7,-2.2511696815490723
8,-2.168513774871826
9,-2.099353790283203
10,-2.0397586822509766
11,-1.9838181734085083
12,-1.9324743747711182
13,-1.883439064025879
14,-1.8445124626159668
15,-1.8035274744033813
16,-1.7707760334014893
17,-1.7398816347122192
18,-1.7039223909378052
19,-1.6680268049240112
20,-1.6373887062072754
21,-1.6058216094970703
22,-1.5760387182235718
23,-1.5478192567825317
24,-1.5187058448791504
25,-1.4904756546020508
26,-1.463473916053772
27,-1.4344696998596191
28,-1.409996747970581
29,-1.3866515159606934
30,-1.3623460531234741
31,-1.3396655321121216
32,-1.3189082145690918
33,-1.2960588932037354
34,-1.2727432250976562
35,-1.2502708435058594
36,-1.229783535003662
37,-1.2082829475402832
38,-1.1891707181930542
39,-1.1701714992523193
40,-1.1505879163742065
41,-1.1316614151000977
42,-1.114018440246582
43,-1.095754861831665
44,-1.0783414840698242
45,-1.0608073472976685
46,-1.0445246696472168
47,-1.0285015106201172
48,-1.0132946968078613
49,-0.997080385684967
50,-0.9813839793205261
51,-0.9667168259620667
52,-0.9519039988517761
53,-0.9376765489578247
54,-0.9245205521583557
55,-0.9127195477485657
56,-0.8991036415100098
57,-0.8867529034614563
58,-0.8740436434745789
59,-0.8613939881324768
60,-0.8484918475151062
61,-0.8359889984130859
62,-0.8240106105804443
63,-0.8118345737457275
64,-0.8009116649627686
65,-0.7901003956794739
66,-0.7797117233276367
67,-0.7696788311004639
68,-0.7594543099403381
69,-0.7494177222251892
70,-0.7394950985908508
71,-0.7303369045257568
72,-0.7211751937866211
73,-0.7126937508583069
74,-0.7033939957618713
75,-0.6947280168533325
76,-0.6860206723213196
77,-0.6778038144111633
78,-0.6695923209190369
79,-0.6616493463516235
80,-0.6537656784057617
81,-0.6464993357658386
82,-0.6388088464736938
83,-0.6320165395736694
84,-0.624660313129425
85,-0.6178677678108215
86,-0.6112866997718811
87,-0.6047198176383972
88,-0.5981232523918152
89,-0.5916538834571838
90,-0.5852789878845215
91,-0.5793692469596863
92,-0.573518693447113
93,-0.568133533000946
94,-0.562229573726654
95,-0.5565815567970276
96,-0.5508469939231873
97,-0.545336127281189
98,-0.5402439832687378
99,-0.5347949862480164
100,-0.5301517844200134
101,-0.5253739953041077
102,-0.5206639170646667
103,-0.5157049298286438
104,-0.5111135840415955
105,-0.5069089531898499
106,-0.5028417110443115
107,-0.4981042742729187
108,-0.4937094449996948
109,-0.4895039200782776
110,-0.48534268140792847
111,-0.48147833347320557
112,-0.4775539040565491
113,-0.47370558977127075
114,-0.46990537643432617
115,-0.46611326932907104
116,-0.46246564388275146
117,-0.45876359939575195
118,-0.4550289511680603
119,-0.45137685537338257
120,-0.4476780295372009
121,-0.444344162940979
122,-0.44072479009628296
123,-0.43749308586120605
124,-0.4341035485267639
125,-0.4307142496109009
126,-0.427496075630188
127,-0.4243832230567932
128,-0.421395480632782
129,-0.4183865189552307
130,-0.4152923822402954
131,-0.4123159646987915
132,-0.40940070152282715
133,-0.40637677907943726
134,-0.4034796953201294
135,-0.40058571100234985
136,-0.3976286053657532
137,-0.3949993848800659
138,-0.39244699478149414
139,-0.3899938464164734
140,-0.3875455856323242
141,-0.38505667448043823
142,-0.3824273943901062
143,-0.3799901604652405
144,-0.3774973154067993
145,-0.3751852512359619
146,-0.3726949095726013
147,-0.37022167444229126
148,-0.36790281534194946
149,-0.3654692769050598
150,-0.36299651861190796
151,-0.360714316368103
152,-0.35857832431793213
153,-0.3565317392349243
154,-0.3545951843261719
155,-0.35270339250564575
156,-0.350796639919281
157,-0.34864842891693115
158,-0.3464203476905823
159,-0.34464120864868164
160,-0.34284377098083496
161,-0.3408106565475464
162,-0.33899539709091187
163,-0.3370559811592102
164,-0.33497756719589233
165,-0.33289635181427
166,-0.33091264963150024
167,-0.3290244936943054
168,-0.32718342542648315
169,-0.3254413604736328
170,-0.3235657811164856
171,-0.3218870759010315
172,-0.32014328241348267
173,-0.31848108768463135
174,-0.31669265031814575
175,-0.3150215744972229
176,-0.31327706575393677
177,-0.31139469146728516
178,-0.30970996618270874
179,-0.30829310417175293
180,-0.306535542011261
181,-0.3048984408378601
182,-0.3034355044364929
183,-0.3017193078994751
184,-0.300167977809906
185,-0.29869282245635986
186,-0.29713279008865356
187,-0.2956620454788208
188,-0.29431062936782837
189,-0.29281991720199585
190,-0.291301965713501
191,-0.28977274894714355
192,-0.28825563192367554
193,-0.2869207262992859
194,-0.2855476140975952
195,-0.2842736840248108
196,-0.2829868197441101
197,-0.2816002368927002
198,-0.28029531240463257
199,-0.27905166149139404
200,-0.2776294946670532
