Epoch,R2 Score
1,-3.7403228282928467
2,-3.638789176940918
3,-3.60189151763916
4,-3.815481185913086
5,-4.132155895233154
6,-4.482684135437012
7,-4.785335063934326
8,-4.996282577514648
9,-5.1101837158203125
10,-5.156150817871094
11,-5.1361236572265625
12,-5.059338569641113
13,-4.9600300788879395
14,-4.85347318649292
15,-4.747701644897461
16,-4.6469879150390625
17,-4.552160739898682
18,-4.463901042938232
19,-4.384324073791504
20,-4.314018249511719
21,-4.248920440673828
22,-4.187849998474121
23,-4.129283905029297
24,-4.075077533721924
25,-4.026798725128174
26,-3.982185125350952
27,-3.938901662826538
28,-3.898569107055664
29,-3.861848831176758
30,-3.824239730834961
31,-3.787738084793091
32,-3.752775192260742
33,-3.7206382751464844
34,-3.6902964115142822
35,-3.6610379219055176
36,-3.6311423778533936
37,-3.603832721710205
38,-3.579479455947876
39,-3.554288625717163
40,-3.527764320373535
41,-3.503734588623047
42,-3.482231616973877
43,-3.461108922958374
44,-3.438873767852783
45,-3.417348861694336
46,-3.3963732719421387
47,-3.376798629760742
48,-3.357363224029541
49,-3.337894916534424
50,-3.3184828758239746
51,-3.3011903762817383
52,-3.2844784259796143
53,-3.2684764862060547
54,-3.25117564201355
55,-3.234518527984619
56,-3.2185354232788086
57,-3.202843189239502
58,-3.1877331733703613
59,-3.17236328125
60,-3.157210350036621
61,-3.142268419265747
62,-3.1269044876098633
63,-3.11188006401062
64,-3.097708225250244
65,-3.0845046043395996
66,-3.0713534355163574
67,-3.0580220222473145
68,-3.044981002807617
69,-3.0311527252197266
70,-3.0178980827331543
71,-3.005723237991333
72,-2.9926700592041016
73,-2.981159210205078
74,-2.9705142974853516
75,-2.9587087631225586
76,-2.946455478668213
77,-2.9346764087677
78,-2.9235024452209473
79,-2.912081480026245
80,-2.899991273880005
81,-2.8891408443450928
82,-2.8789987564086914
83,-2.8669638633728027
84,-2.854915142059326
85,-2.843871593475342
86,-2.83369779586792
87,-2.8233838081359863
88,-2.812007188796997
89,-2.800785541534424
90,-2.7896480560302734
91,-2.7790989875793457
92,-2.768080711364746
93,-2.7575483322143555
94,-2.747015953063965
95,-2.735990524291992
96,-2.7249650955200195
97,-2.7144417762756348
98,-2.703826427459717
99,-2.6937143802642822
100,-2.6834659576416016
101,-2.673060178756714
102,-2.6627917289733887
103,-2.6526288986206055
104,-2.643266201019287
105,-2.6333982944488525
106,-2.6229238510131836
107,-2.6129708290100098
108,-2.6028707027435303
109,-2.5936765670776367
110,-2.5839309692382812
111,-2.573962688446045
112,-2.5639655590057373
113,-2.5548830032348633
114,-2.545069694519043
115,-2.535071849822998
116,-2.5257227420806885
117,-2.516244888305664
118,-2.5066914558410645
119,-2.4966204166412354
120,-2.487355947494507
121,-2.478168487548828
122,-2.469021797180176
123,-2.4598305225372314
124,-2.4508535861968994
125,-2.4414947032928467
126,-2.432060956954956
127,-2.422785758972168
128,-2.413569450378418
129,-2.404092788696289
130,-2.395099639892578
131,-2.3859758377075195
132,-2.3770453929901123
133,-2.368161678314209
134,-2.359100818634033
135,-2.350062847137451
136,-2.340963840484619
137,-2.332228183746338
138,-2.3235740661621094
139,-2.314805269241333
140,-2.306046485900879
141,-2.297374963760376
142,-2.2891151905059814
143,-2.28092098236084
144,-2.2721333503723145
145,-2.263399362564087
146,-2.254976272583008
147,-2.246356964111328
148,-2.2382445335388184
149,-2.2301673889160156
150,-2.222553253173828
151,-2.2146902084350586
152,-2.206404209136963
153,-2.1984400749206543
154,-2.1906721591949463
155,-2.182713031768799
156,-2.17496919631958
157,-2.167311429977417
158,-2.159782886505127
159,-2.152165412902832
160,-2.1446075439453125
161,-2.136979103088379
162,-2.1292381286621094
163,-2.1219558715820312
164,-2.114773750305176
165,-2.1076667308807373
166,-2.100123882293701
167,-2.0928850173950195
168,-2.0858521461486816
169,-2.0787363052368164
170,-2.071765899658203
171,-2.0646262168884277
172,-2.0574951171875
173,-2.050808906555176
174,-2.044041872024536
175,-2.03741192817688
176,-2.0307044982910156
177,-2.0237905979156494
178,-2.0169148445129395
179,-2.0100016593933105
180,-2.0034732818603516
181,-1.9971956014633179
182,-1.9905714988708496
183,-1.9840078353881836
184,-1.97760808467865
185,-1.9712506532669067
186,-1.9650911092758179
187,-1.9589647054672241
188,-1.952860951423645
189,-1.946669101715088
190,-1.9406013488769531
191,-1.9346297979354858
192,-1.9285427331924438
193,-1.9225399494171143
194,-1.9164515733718872
195,-1.9106460809707642
196,-1.9049897193908691
197,-1.8992164134979248
198,-1.8935059309005737
199,-1.8878368139266968
200,-1.8823014497756958
