Epoch,R2 Score
1,-1.8988348245620728
2,-1.4815601110458374
3,-1.5375399589538574
4,-1.2575021982192993
5,-1.0957977771759033
6,-0.9405347108840942
7,-0.8187286257743835
8,-0.7093508839607239
9,-0.6159533858299255
10,-0.5347978472709656
11,-0.4733887314796448
12,-0.4265967011451721
13,-0.3776646852493286
14,-0.3311501145362854
15,-0.29376840591430664
16,-0.2632405161857605
17,-0.2318534255027771
18,-0.20201736688613892
19,-0.1772080659866333
20,-0.15453338623046875
21,-0.13352161645889282
22,-0.11411309242248535
23,-0.10046559572219849
24,-0.08548051118850708
25,-0.07058590650558472
26,-0.057479143142700195
27,-0.04521816968917847
28,-0.035175323486328125
29,-0.025835692882537842
30,-0.01529628038406372
31,-0.00619739294052124
32,0.0024524033069610596
33,0.011042952537536621
34,0.018690258264541626
35,0.025778740644454956
36,0.03283226490020752
37,0.03918251395225525
38,0.04569074511528015
39,0.051150739192962646
40,0.05699169635772705
41,0.06232219934463501
42,0.06748530268669128
43,0.07216724753379822
44,0.07687512040138245
45,0.08138960599899292
46,0.08562150597572327
47,0.08983978629112244
48,0.0935099720954895
49,0.09733444452285767
50,0.10098552703857422
51,0.10451442003250122
52,0.10788726806640625
53,0.11114183068275452
54,0.11423376202583313
55,0.1172342598438263
56,0.12005773186683655
57,0.12282267212867737
58,0.1255377233028412
59,0.12809419631958008
60,0.13059699535369873
61,0.1329956352710724
62,0.1353146731853485
63,0.137559711933136
64,0.13975337147712708
65,0.1418572962284088
66,0.14392966032028198
67,0.14594778418540955
68,0.14789295196533203
69,0.14974987506866455
70,0.15158578753471375
71,0.15337935090065002
72,0.15511327981948853
73,0.15681207180023193
74,0.1584661602973938
75,0.16005995869636536
76,0.16161522269248962
77,0.16312438249588013
78,0.16460534930229187
79,0.16605007648468018
80,0.1674625277519226
81,0.16882896423339844
82,0.17016515135765076
83,0.17147397994995117
84,0.17275217175483704
85,0.1740071177482605
86,0.17523404955863953
87,0.17643269896507263
88,0.1776006519794464
89,0.17872971296310425
90,0.17983773350715637
91,0.18092641234397888
92,0.18199169635772705
93,0.18302512168884277
94,0.1840398609638214
95,0.18503373861312866
96,0.18601259589195251
97,0.18696686625480652
98,0.18790113925933838
99,0.18881189823150635
100,0.18971097469329834
101,0.19059965014457703
102,0.19145506620407104
103,0.1922999620437622
104,0.1931195855140686
105,0.1939375400543213
106,0.19474637508392334
107,0.19552725553512573
108,0.19629833102226257
109,0.197053462266922
110,0.19779479503631592
111,0.19851833581924438
112,0.19923225045204163
113,0.19993636012077332
114,0.20062005519866943
115,0.20129916071891785
116,0.20196294784545898
117,0.20261543989181519
118,0.2032577097415924
119,0.2039017379283905
120,0.20454055070877075
121,0.20515573024749756
122,0.20575407147407532
123,0.20635288953781128
124,0.2069423496723175
125,0.2075146734714508
126,0.20808055996894836
127,0.20863184332847595
128,0.20917552709579468
129,0.20971021056175232
130,0.21023806929588318
131,0.2107616364955902
132,0.21128025650978088
133,0.21178659796714783
134,0.21229329705238342
135,0.2127877175807953
136,0.21328145265579224
137,0.2137725055217743
138,0.21424898505210876
139,0.21471858024597168
140,0.2151743769645691
141,0.21562734246253967
142,0.21607688069343567
143,0.21651309728622437
144,0.21694684028625488
145,0.21737581491470337
146,0.2178020477294922
147,0.21822741627693176
148,0.21864435076713562
149,0.21905845403671265
150,0.21946164965629578
151,0.21985623240470886
152,0.22024419903755188
153,0.22063282132148743
154,0.2210139036178589
155,0.2213839590549469
156,0.22175177931785583
157,0.22211244702339172
158,0.22247418761253357
159,0.2228274643421173
160,0.22318264842033386
161,0.2235272228717804
162,0.22387132048606873
163,0.22421187162399292
164,0.22454780340194702
165,0.22488191723823547
166,0.22521018981933594
167,0.22553616762161255
168,0.22585979104042053
169,0.22617655992507935
170,0.22649019956588745
171,0.2267991006374359
172,0.22710064053535461
173,0.22740772366523743
174,0.22770684957504272
175,0.22799870371818542
176,0.22828614711761475
177,0.2285727858543396
178,0.2288515567779541
179,0.22913029789924622
180,0.22940769791603088
181,0.22968366742134094
182,0.22995615005493164
183,0.23022666573524475
184,0.2304961085319519
185,0.2307581901550293
186,0.23101770877838135
187,0.23128050565719604
188,0.2315385937690735
189,0.23179525136947632
190,0.2320457398891449
191,0.2322928011417389
192,0.2325323522090912
193,0.23277822136878967
194,0.2330164909362793
195,0.23325607180595398
196,0.2334936261177063
197,0.2337271273136139
198,0.23396086692810059
199,0.23418930172920227
200,0.23441925644874573
