p:batch_size,p:epochs,p:hidden_dim1,p:hidden_dim2,p:hidden_dim3,p:hidden_dim4,p:hidden_dim5,p:hidden_dim6,p:lr,p:num_layers1,p:num_layers2,p:num_layers3,p:num_layers4,p:num_layers5,p:num_layers6,p:patience,p:scheduler_factor,p:use_batch_norm,p:z-normalize,objective,job_id,m:timestamp_submit,m:timestamp_gather
45,200,189,105,112,108,204,126,0.00013930806891130696,2,2,2,2,1,1,6,0.24651247696389017,False,False,-0.10923033952713013,18,248.71521615982056,285.9030849933624
54,200,126,155,200,115,17,62,1.2722429696330985e-05,2,2,2,2,2,1,7,0.36296436654856035,False,False,0.39303433895111084,20,274.6306779384613,312.87841606140137
26,200,177,182,229,197,174,80,1.1718269595057228e-05,2,2,2,2,2,1,3,0.33045505771250344,True,False,0.6671332716941833,19,260.16617488861084,337.08195090293884
45,200,100,207,242,197,136,22,0.0002750186569871258,1,2,2,2,1,1,4,0.25605104652466826,True,False,-0.06961512565612793,21,286.0815122127533,347.1461000442505
45,200,72,178,185,192,159,79,1.2985137112559865e-05,2,2,2,1,2,1,5,0.13218863163147507,True,False,0.2844882011413574,22,313.067617893219,364.45984292030334
21,200,140,154,83,100,109,75,1.2726527483371254e-05,1,2,2,2,2,1,3,0.478460965442119,True,False,0.0591522753238678,24,347.3359341621399,393.32188296318054
28,200,147,170,243,188,103,81,0.0008822956352228325,2,2,2,2,1,1,3,0.10359189879428854,True,True,-0.10486876985078253,23,337.34107518196106,396.8564169406891
16,200,207,86,92,45,79,116,1.0832814695362246e-05,2,2,2,1,2,1,6,0.7949477072453662,False,False,-0.029210448265075684,25,364.65819001197815,401.76640915870667
18,200,144,224,247,252,224,191,1.1089355898050893e-05,1,2,2,1,1,2,3,0.34810603184608135,False,False,-0.1166650652885437,26,393.5010869503021,454.5583939552307
21,200,154,249,252,115,234,82,1.2613365942946473e-05,2,2,1,1,1,1,3,0.3744298518839162,True,False,0.2776294946670532,28,401.98033714294434,457.1370542049408
43,200,246,205,232,250,239,69,1.0182110305348973e-05,1,2,2,2,2,1,5,0.74908759145872,True,True,-0.254934919527056,27,397.04292011260986,470.01703000068665
73,200,86,131,244,38,101,191,1.1257911770567307e-05,1,2,2,2,2,1,6,0.3207147904078256,True,False,2.169417381286621,29,454.73877000808716,500.5471568107605
73,200,208,190,206,70,235,22,1.192353774698611e-05,1,2,2,2,2,1,5,0.23508569319443107,False,True,-0.0403820203758099,30,457.3070912361145,505.9378070831299
57,200,144,16,251,124,193,19,1.0119340337630742e-05,1,2,1,2,2,1,5,0.5993384064459332,True,False,3.128065586090088,31,470.1913299560547,506.54625821113586
52,200,41,25,185,21,112,244,1.0434049918043544e-05,2,1,1,2,1,1,5,0.2947471498358371,True,False,0.7494827508926392,32,500.74447202682495,526.3531680107117
24,200,114,123,252,97,81,252,1.0708902347302689e-05,2,2,1,2,1,1,6,0.32074268832409514,False,False,-0.06495901942253113,33,506.1516761779785,541.1971831321716
59,200,154,22,163,130,198,144,1.073508589069048e-05,1,1,1,2,2,1,9,0.6637448365910207,True,False,0.1290903091430664,34,506.8216869831085,543.4176280498505
68,200,237,96,240,52,41,77,1.0243621386815212e-05,1,1,2,1,1,1,3,0.8810602287332251,True,False,1.8823014497756958,35,526.545300245285,562.2191390991211
96,200,179,218,131,213,142,210,1.0156200994691194e-05,1,2,1,2,1,1,6,0.7151653054909023,True,False,0.7691628932952881,36,541.3779401779175,598.2602729797363
